YDR081C|GO:0000978; GO:0045944; GO:0090180; GO:2001172
YLR422W|GO:0005085; GO:0007264
YDR273W|GO:0030476; GO:0070056
YOR315W|GO:0000278; GO:0005634; GO:0007124
YEL019C|GO:0000724; GO:0005635; GO:0008270; GO:0019789; GO:0030291; GO:0030915; GO:1990683
YER094C|GO:0004298; GO:0005634; GO:0010499; GO:0019774; GO:0043161; GO:0061133
YEL066W|GO:0008080
YJL218W|GO:0016407
YLR083C|GO:0000329; GO:0001403; GO:0005768; GO:0006878; GO:0007034; GO:0007124; GO:0016021; GO:0016197
YDL185W|GO:0000221; GO:0000329; GO:0005524; GO:0007035; GO:0044267; GO:0046034; GO:0046961; GO:0090463; GO:0090464; GO:0090465
YDR267C|GO:0002098; GO:0005634; GO:0016226; GO:0097361; GO:0097428
YBR120C|GO:0005761; GO:0034551; GO:0043022; GO:0061671; GO:0070131
YGL161C|GO:0005794; GO:0016021; GO:0016192; GO:0017137
YMR294W|GO:0000132; GO:0005200; GO:0005869; GO:0007097
YDR343C|GO:0016021; GO:0022857
YOR036W|GO:0000011; GO:0005484; GO:0005768; GO:0005794; GO:0006896; GO:0016021; GO:0016236; GO:0032258
YDR473C|GO:0000387; GO:0046540
YHR129C|GO:0000132; GO:0005200; GO:0005869; GO:0030989; GO:0031578; GO:0051285
YNL071W|GO:0004742; GO:0005967; GO:0006086
YFR017C|GO:0004857; GO:0045818
YBR149W|GO:0005829; GO:0044262; GO:0045290
YLR399C|GO:0000812; GO:0001046; GO:0001094; GO:0003682; GO:0006281; GO:0006338; GO:0009301; GO:0031452; GO:0031938; GO:0070577; GO:0090054; GO:1900051
YDL237W|GO:0006629; GO:0008081
YGR163W|GO:0000329; GO:0000790; GO:0003924; GO:0005525; GO:0010507; GO:0016237; GO:0031902; GO:0034448; GO:0043547; GO:0045944; GO:1903778; GO:1904263; GO:1990131
YNL326C|GO:0000329; GO:0016021; GO:0018345; GO:0019706; GO:0042144
YGR227W|GO:0004583; GO:0005789; GO:0006488; GO:0016021; GO:0106073
YNL230C|GO:0004842; GO:0006368; GO:0006511; GO:0031463; GO:0070449
YDR151C|GO:0000956; GO:0006879; GO:0046872
YCR076C|GO:0070628
YIL126W|GO:0000775; GO:0004386; GO:0005524; GO:0006284; GO:0006302; GO:0006337; GO:0006368; GO:0007010; GO:0007059; GO:0015616; GO:0016584; GO:0016586; GO:0031055; GO:0043044; GO:0051321; GO:0061587; GO:0070577
YNL290W|GO:0003689; GO:0005524; GO:0005634; GO:0005663; GO:0005829; GO:0006272; GO:0031389; GO:0031390; GO:0031391; GO:0070914
YDL045C|GO:0003919; GO:0005737; GO:0006747
YLR002C|GO:0003682; GO:0005656; GO:0005730; GO:0006267; GO:0006270; GO:0006364; GO:0030691; GO:0042273
YPR107C|GO:0003723; GO:0005829; GO:0005847; GO:0006378; GO:0046872; GO:0098789
YLR284C|GO:0004165; GO:0005777; GO:0006635
YNL078W|GO:0005621; GO:0005634; GO:0007120; GO:0032174; GO:0032177; GO:0045184; GO:0140014
YKL065C|GO:0005789; GO:0006886; GO:0006888; GO:0016021; GO:0070973
YER107C|GO:0000973; GO:0005643; GO:0005737; GO:0016020; GO:0016973; GO:0031081; GO:2000728
YOL101C|GO:0006882; GO:0016021
YDL116W|GO:0000973; GO:0006302; GO:0006606; GO:0017056; GO:0030466; GO:0031080; GO:0031081; GO:0031965; GO:0031990; GO:0034398; GO:0042802; GO:0045944
YPR081C|GO:0004820; GO:0005524; GO:0005737; GO:0006426
YAR031W|GO:0016021
YPR008W|GO:0000981; GO:0003677; GO:0005507; GO:0005634; GO:0036003; GO:0042025; GO:0061402
YPL159C|GO:0005739; GO:0009060
YLR299W|GO:0000324; GO:0006751; GO:0006805; GO:0036374
YLR423C|GO:0000149; GO:0000407; GO:0000422; GO:0030242; GO:0030295; GO:0034497; GO:0034727; GO:0044805; GO:0045772; GO:0060090; GO:0120095; GO:1990316; GO:2000786
YLR034C|GO:0000329; GO:0006826; GO:0006879; GO:0016021; GO:0030026; GO:0046873; GO:0071421
